Track,Artist,Year,Streams
blinding lights,the weeknd,2023,3703895074
shape of you,ed sheeran,2023,3562543890
someone you loved,lewis capaldi,2023,2887241814
dance monkey,tones and i,2023,2864791672
sunflower - spider-man: into the spider-verse,"post malone, swae lee",2023,2808096550
one dance,"drake, wizkid, kyla",2023,2713922350
stay (with justin bieber),"justin bieber, the kid laroi",2023,2665343922
believer,imagine dragons,2023,2594040133
closer,"the chainsmokers, halsey",2023,2591224264
starboy,"the weeknd, daft punk",2023,2565529693
blinding lights,the weeknd,2024,4281468720
shape of you,ed sheeran,2024,3909458734
someone you loved,lewis capaldi,2024,3427498835
dance monkey,tones and i,2024,3071214106
sunflower - spider-man: into the spider-verse,"post malone, swae lee",2024,3358704125
one dance,"drake, wizkid, kyla",2024,3192204066
stay (with justin bieber),"justin bieber, the kid laroi",2024,3107100349
believer,imagine dragons,2024,3006226762
closer,"the chainsmokers, halsey",2024,2880536961
starboy,"the weeknd, daft punk",2024,3291262413
