Track,Artist,Streams_2023,Streams_2024,Growth In Streams,Growth Percentage
blinding lights,the weeknd,3703895074,4281468720,577573646,15.59
shape of you,ed sheeran,3562543890,3909458734,346914844,9.74
someone you loved,lewis capaldi,2887241814,3427498835,540257021,18.71
dance monkey,tones and i,2864791672,3071214106,206422434,7.21
sunflower - spider-man: into the spider-verse,"post malone, swae lee",2808096550,3358704125,550607575,19.61
one dance,"drake, wizkid, kyla",2713922350,3192204066,478281716,17.62
stay (with justin bieber),"justin bieber, the kid laroi",2665343922,3107100349,441756427,16.57
believer,imagine dragons,2594040133,3006226762,412186629,15.89
closer,"the chainsmokers, halsey",2591224264,2880536961,289312697,11.17
starboy,"the weeknd, daft punk",2565529693,3291262413,725732720,28.29
